decoy                                  RMSD         CONTACT      R_GYRATION       AB_ENERGY           ANGLE            BOND           DIHED             EEL           EELEC             EGB           ESURF              NB         VDWAALS
decoy26_110_A_AMBER_minimized.pdb     9.8800    -22.0000000      55.6896270      -0.1274957   10109.2898000      69.3792000     493.5881000    1006.3464000   -1837.5153000    -947.6748000      29.9302000     171.4519000    -163.2873000 
decoy22_68_A_AMBER_minimized.pdb      5.1700    -44.0000000      50.2106102      -0.1781137   10146.6155000     105.9489000     549.4069000    1023.4554000   -1846.7611000    -968.9134000      31.7975000     178.9730000    -116.1531000 
decoy23_7_A_AMBER_minimized.pdb       5.3600    -38.0000000      50.3370028      -0.1268895   10117.4152000      87.6011000     464.3750000    1039.2634000   -1940.9656000    -895.1633000      32.1432000     175.3111000    -105.0892000 
decoy24_2_A_AMBER_minimized.pdb       2.4300    -49.0000000      20.4791549      -0.1315054   10117.3037000      84.0868000     487.0973000     978.3809000   -1854.5511000    -903.2314000      31.5379000     153.7498000    -128.8362000 
decoy17_25_A_AMBER_minimized.pdb      7.7600    -22.0000000      41.4362601      -0.1269193   10120.6856000      95.9007000     488.1369000    1037.1295000   -1885.7103000    -931.6734000      28.5601000     167.2211000    -100.2470000 
decoy60_151_A_AMBER_minimized.pdb    10.3800    -20.0000000      22.0156026      -0.1472471   10130.4167000      96.5887000     547.8477000    1002.1735000   -1894.4774000    -862.9540000      27.6176000     174.1106000     -80.3444000 
decoy13_143_A_AMBER_minimized.pdb     9.0400    -47.0000000      45.0159610      -0.1191947   10114.3658000     110.8830000     518.5367000    1020.6279000   -1927.0146000    -904.4080000      31.1778000     158.5967000    -135.2270000 
decoy54_204_A_AMBER_minimized.pdb    11.6900    -30.0000000      16.3592111      -0.1550430   10129.9360000     112.8867000     522.4453000    1017.6746000   -1850.8359000    -967.7154000      34.3783000     168.1121000    -117.5056000 
decoy22_12_A_AMBER_minimized.pdb      3.7500    -48.0000000      70.2764414      -0.1576949   10115.4334000      79.2234000     473.4287000    1009.5248000   -1877.4472000    -935.0016000      33.4370000     167.4282000    -109.0929000 
decoy32_118_A_AMBER_minimized.pdb     8.9800    -39.0000000      25.9146291      -0.1533273   10110.6029000      91.3169000     518.3824000    1078.9927000   -1910.3055000    -974.4002000      28.5001000     168.1052000     -91.8921000 
decoy5_2_A_AMBER_minimized.pdb        2.8800    -46.0000000      25.9109866      -0.1555548   10118.4539000      95.0736000     491.5598000    1034.3188000   -1777.6156000   -1042.2961000      31.4156000     163.8634000    -149.6327000 
decoy5_1_A_AMBER_minimized.pdb        2.6600    -48.0000000      24.9540157      -0.1781718   10113.8808000     112.6734000     532.6867000    1002.9496000   -1918.0004000    -885.8624000      31.2109000     150.8360000    -166.7756000 
decoy69_202_A_AMBER_minimized.pdb     9.0800    -23.0000000      28.2730035      -0.1618720   10105.7825000      62.6365000     524.3101000    1052.2437000   -1975.0135000    -854.4720000      29.8738000     170.5502000    -115.5788000 
decoy58_3_A_AMBER_minimized.pdb       6.6900    -39.0000000      28.3916949      -0.1092934   10120.4480000     101.8762000     527.9855000    1051.8251000   -1827.6373000    -999.9360000      30.8892000     164.0890000     -88.0063000 
decoy7_3_A_AMBER_minimized.pdb        4.9800    -48.0000000      22.0785172      -0.1794706   10118.3988000     114.3593000     529.1664000     996.6612000   -1860.2886000    -919.1811000      30.6151000     163.1886000    -112.9854000 
decoy15_31_A_AMBER_minimized.pdb      7.0100    -44.0000000      53.0622810      -0.1565835   10107.0494000      47.8700000     514.9544000     999.4527000   -1854.0305000    -944.6514000      31.7393000     157.7964000    -163.7522000 
decoy58_96_A_AMBER_minimized.pdb      8.4600    -34.0000000      35.7292589      -0.1185828   10110.5266000      92.8676000     511.0563000    1010.1997000   -1989.3048000    -848.1602000      32.6630000     166.7669000    -105.9409000 
decoy1_19_A_AMBER_minimized.pdb       2.4000    -50.0000000      10.6009842      -0.1413464   10139.4817000     153.5991000     518.2902000     983.1014000   -1872.0255000    -911.2479000      31.4598000     162.2908000     -38.5306000 
decoy67_147_A_AMBER_minimized.pdb     9.9600    -22.0000000      23.3874358      -0.1333570   10122.3085000     106.2822000     499.1301000     996.2225000   -1974.7606000    -789.3658000      31.1884000     156.4404000    -126.7335000 
decoy26_5_A_AMBER_minimized.pdb       6.8100    -39.0000000      48.9241652      -0.0894873   10114.1270000      98.3839000     478.5256000    1048.3458000   -1654.0758000   -1158.2364000      30.5401000     158.1882000     -98.1665000 
decoy66_140_A_AMBER_minimized.pdb    10.1000    -28.0000000      39.1138341      -0.1250909   10112.5027000      68.5707000     480.2612000    1012.7782000   -1977.9268000    -819.5719000      28.1634000     168.9041000     -93.2958000 
decoy24_31_A_AMBER_minimized.pdb      3.3800    -42.0000000      20.0988270      -0.1279598   10120.8779000      82.9954000     546.1952000    1002.3020000   -1834.9595000    -945.0836000      32.4708000     145.2223000    -129.3905000 
decoy29_124_A_AMBER_minimized.pdb     9.9800    -29.0000000      36.5028982      -0.0814323   10107.1768000      61.5676000     531.9880000    1028.0086000   -1908.9687000    -883.5281000      33.4611000     177.2241000    -118.1360000 
decoy61_164_A_AMBER_minimized.pdb     9.3600    -24.0000000      20.1639952      -0.1604739   10139.1309000     124.5391000     499.3861000    1012.9747000   -1825.8616000    -967.7351000      30.2255000     170.2533000     -71.9914000 
decoy58_105_A_AMBER_minimized.pdb     9.3000    -39.0000000      28.4419885      -0.0862290   10115.2262000      98.0658000     523.5754000     969.3712000   -1845.0310000    -917.8062000      31.7067000     158.2716000    -105.3350000 
